result,radmean,,textmean,,perimean,,areamean,,smoomean,,compmean,,concave,,copoints,,symmetry,,fractal,,radse,,textse,,perimtrse,,arease,,smoothse,,compse,,concavse,,conptse
1,17.99,,10.38,,122.8,,1001,,0.1184,,0.2776,,0.3001,,0.1471,,0.2419,,0.07871,,1.095,,0.9053,,8.589,,153.4,,0.006399,,0.04904,,0.05373,,0.01587
1,20.57,,17.77,,132.9,,1326,,0.08474,,0.07864,,0.0869,,0.07017,,0.1812,,0.05667,,0.5435,,0.7339,,3.398,,74.08,,0.005225,,0.01308,,0.0186,,0.0134
1,19.69,,21.25,,130,,1203,,0.1096,,0.1599,,0.1974,,0.1279,,0.2069,,0.05999,,0.7456,,0.7869,,4.585,,94.03,,0.00615,,0.04006,,0.03832,,0.02058
1,11.42,,20.38,,77.58,,386.1,,0.1425,,0.2839,,0.2414,,0.1052,,0.2597,,0.09744,,0.4956,,1.156,,3.445,,27.23,,0.00911,,0.07458,,0.05661,,0.01867
1,20.29,,14.34,,135.1,,1297,,0.1003,,0.1328,,0.198,,0.1043,,0.1809,,0.05883,,0.7572,,0.7813,,5.438,,94.44,,0.01149,,0.02461,,0.05688,,0.01885
1,12.45,,15.7,,82.57,,477.1,,0.1278,,0.17,,0.1578,,0.08089,,0.2087,,0.07613,,0.3345,,0.8902,,2.217,,27.19,,0.00751,,0.03345,,0.03672,,0.01137
1,18.25,,19.98,,119.6,,1040,,0.09463,,0.109,,0.1127,,0.074,,0.1794,,0.05742,,0.4467,,0.7732,,3.18,,53.91,,0.004314,,0.01382,,0.02254,,0.01039
1,13.71,,20.83,,90.2,,577.9,,0.1189,,0.1645,,0.09366,,0.05985,,0.2196,,0.07451,,0.5835,,1.377,,3.856,,50.96,,0.008805,,0.03029,,0.02488,,0.01448
1,13,,21.82,,87.5,,519.8,,0.1273,,0.1932,,0.1859,,0.09353,,0.235,,0.07389,,0.3063,,1.002,,2.406,,24.32,,0.005731,,0.03502,,0.03553,,0.01226
1,12.46,,24.04,,83.97,,475.9,,0.1186,,0.2396,,0.2273,,0.08543,,0.203,,0.08243,,0.2976,,1.599,,2.039,,23.94,,0.007149,,0.07217,,0.07743,,0.01432
1,16.02,,23.24,,102.7,,797.8,,0.08206,,0.06669,,0.03299,,0.03323,,0.1528,,0.05697,,0.3795,,1.187,,2.466,,40.51,,0.004029,,0.009269,,0.01101,,0.007591
1,15.78,,17.89,,103.6,,781,,0.0971,,0.1292,,0.09954,,0.06606,,0.1842,,0.06082,,0.5058,,0.9849,,3.564,,54.16,,0.005771,,0.04061,,0.02791,,0.01282
1,19.17,,24.8,,132.4,,1123,,0.0974,,0.2458,,0.2065,,0.1118,,0.2397,,0.078,,0.9555,,3.568,,11.07,,116.2,,0.003139,,0.08297,,0.0889,,0.0409
1,15.85,,23.95,,103.7,,782.7,,0.08401,,0.1002,,0.09938,,0.05364,,0.1847,,0.05338,,0.4033,,1.078,,2.903,,36.58,,0.009769,,0.03126,,0.05051,,0.01992
1,13.73,,22.61,,93.6,,578.3,,0.1131,,0.2293,,0.2128,,0.08025,,0.2069,,0.07682,,0.2121,,1.169,,2.061,,19.21,,0.006429,,0.05936,,0.05501,,0.01628
1,14.54,,27.54,,96.73,,658.8,,0.1139,,0.1595,,0.1639,,0.07364,,0.2303,,0.07077,,0.37,,1.033,,2.879,,32.55,,0.005607,,0.0424,,0.04741,,0.0109
1,14.68,,20.13,,94.74,,684.5,,0.09867,,0.072,,0.07395,,0.05259,,0.1586,,0.05922,,0.4727,,1.24,,3.195,,45.4,,0.005718,,0.01162,,0.01998,,0.01109
1,16.13,,20.68,,108.1,,798.8,,0.117,,0.2022,,0.1722,,0.1028,,0.2164,,0.07356,,0.5692,,1.073,,3.854,,54.18,,0.007026,,0.02501,,0.03188,,0.01297
1,19.81,,22.15,,130,,1260,,0.09831,,0.1027,,0.1479,,0.09498,,0.1582,,0.05395,,0.7582,,1.017,,5.865,,112.4,,0.006494,,0.01893,,0.03391,,0.01521
2,13.54,,14.36,,87.46,,566.3,,0.09779,,0.08129,,0.06664,,0.04781,,0.1885,,0.05766,,0.2699,,0.7886,,2.058,,23.56,,0.008462,,0.0146,,0.02387,,0.01315
2,13.08,,15.71,,85.63,,520,,0.1075,,0.127,,0.04568,,0.0311,,0.1967,,0.06811,,0.1852,,0.7477,,1.383,,14.67,,0.004097,,0.01898,,0.01698,,0.00649
2,9.504,,12.44,,60.34,,273.9,,0.1024,,0.06492,,0.02956,,0.02076,,0.1815,,0.06905,,0.2773,,0.9768,,1.909,,15.7,,0.009606,,0.01432,,0.01985,,0.01421
2,15.34,,14.26,,102.5,,704.4,,0.1073,,0.2135,,0.2077,,0.09756,,0.2521,,0.07032,,0.4388,,0.7096,,3.384,,44.91,,0.006789,,0.05328,,0.06446,,0.02252
2,21.16,,23.04,,137.2,,1404,,0.09428,,0.1022,,0.1097,,0.08632,,0.1769,,0.05278,,0.6917,,1.127,,4.303,,93.99,,0.004728,,0.01259,,0.01715,,0.01038
2,16.65,,21.38,,110,,904.6,,0.1121,,0.1457,,0.1525,,0.0917,,0.1995,,0.0633,,0.8068,,0.9017,,5.455,,102.6,,0.006048,,0.01882,,0.02741,,0.0113
2,17.14,,16.4,,116,,912.7,,0.1186,,0.2276,,0.2229,,0.1401,,0.304,,0.07413,,1.046,,0.976,,7.276,,111.4,,0.008029,,0.03799,,0.03732,,0.02397
2,14.58,,21.53,,97.41,,644.8,,0.1054,,0.1868,,0.1425,,0.08783,,0.2252,,0.06924,,0.2545,,0.9832,,2.11,,21.05,,0.004452,,0.03055,,0.02681,,0.01352
2,18.61,,20.25,,122.1,,1094,,0.0944,,0.1066,,0.149,,0.07731,,0.1697,,0.05699,,0.8529,,1.849,,5.632,,93.54,,0.01075,,0.02722,,0.05081,,0.01911
2,15.3,,25.27,,102.4,,732.4,,0.1082,,0.1697,,0.1683,,0.08751,,0.1926,,0.0654,,0.439,,1.012,,3.498,,43.5,,0.005233,,0.03057,,0.03576,,0.01083
2,17.57,,15.05,,115,,955.1,,0.09847,,0.1157,,0.09875,,0.07953,,0.1739,,0.06149,,0.6003,,0.8225,,4.655,,61.1,,0.005627,,0.03033,,0.03407,,0.01354
2,18.63,,25.11,,124.8,,1088,,0.1064,,0.1887,,0.2319,,0.1244,,0.2183,,0.06197,,0.8307,,1.466,,5.574,,105,,0.006248,,0.03374,,0.05196,,0.01158
2,11.84,,18.7,,77.93,,440.6,,0.1109,,0.1516,,0.1218,,0.05182,,0.2301,,0.07799,,0.4825,,1.03,,3.475,,41,,0.005551,,0.03414,,0.04205,,0.01044
2,17.02,,23.98,,112.8,,899.3,,0.1197,,0.1496,,0.2417,,0.1203,,0.2248,,0.06382,,0.6009,,1.398,,3.999,,67.78,,0.008268,,0.03082,,0.05042,,0.01112
2,19.27,,26.47,,127.9,,1162,,0.09401,,0.1719,,0.1657,,0.07593,,0.1853,,0.06261,,0.5558,,0.6062,,3.528,,68.17,,0.005015,,0.03318,,0.03497,,0.009643
2,16.13,,17.88,,107,,807.2,,0.104,,0.1559,,0.1354,,0.07752,,0.1998,,0.06515,,0.334,,0.6857,,2.183,,35.03,,0.004185,,0.02868,,0.02664,,0.009067
2,16.74,,21.59,,110.1,,869.5,,0.0961,,0.1336,,0.1348,,0.06018,,0.1896,,0.05656,,0.4615,,0.9197,,3.008,,45.19,,0.005776,,0.02499,,0.03695,,0.01195
2,14.25,,21.72,,93.63,,633,,0.09823,,0.1098,,0.1319,,0.05598,,0.1885,,0.06125,,0.286,,1.019,,2.657,,24.91,,0.005878,,0.02995,,0.04815,,0.01161
2,13.03,,18.42,,82.61,,523.8,,0.08983,,0.03766,,0.02562,,0.02923,,0.1467,,0.05863,,0.1839,,2.342,,1.17,,14.16,,0.004352,,0.004899,,0.01343,,0.01164
2,14.99,,25.2,,95.54,,698.8,,0.09387,,0.05131,,0.02398,,0.02899,,0.1565,,0.05504,,1.214,,2.188,,8.077,,106,,0.006883,,0.01094,,0.01818,,0.01917
3,13.48,,20.82,,88.4,,559.2,,0.1016,,0.1255,,0.1063,,0.05439,,0.172,,0.06419,,0.213,,0.5914,,1.545,,18.52,,0.005367,,0.02239,,0.03049,,0.01262
3,13.44,,21.58,,86.18,,563,,0.08162,,0.06031,,0.0311,,0.02031,,0.1784,,0.05587,,0.2385,,0.8265,,1.572,,20.53,,0.00328,,0.01102,,0.0139,,0.006881
3,10.95,,21.35,,71.9,,371.1,,0.1227,,0.1218,,0.1044,,0.05669,,0.1895,,0.0687,,0.2366,,1.428,,1.822,,16.97,,0.008064,,0.01764,,0.02595,,0.01037
3,19.07,,24.81,,128.3,,1104,,0.09081,,0.219,,0.2107,,0.09961,,0.231,,0.06343,,0.9811,,1.666,,8.83,,104.9,,0.006548,,0.1006,,0.09723,,0.02638
3,13.28,,20.28,,87.32,,545.2,,0.1041,,0.1436,,0.09847,,0.06158,,0.1974,,0.06782,,0.3704,,0.8249,,2.427,,31.33,,0.005072,,0.02147,,0.02185,,0.00956
3,13.17,,21.81,,85.42,,531.5,,0.09714,,0.1047,,0.08259,,0.05252,,0.1746,,0.06177,,0.1938,,0.6123,,1.334,,14.49,,0.00335,,0.01384,,0.01452,,0.006853
3,18.65,,17.6,,123.7,,1076,,0.1099,,0.1686,,0.1974,,0.1009,,0.1907,,0.06049,,0.6289,,0.6633,,4.293,,71.56,,0.006294,,0.03994,,0.05554,,0.01695
3,8.196,,16.84,,51.71,,201.9,,0.086,,0.05943,,0.01588,,0.005917,,0.1769,,0.06503,,0.1563,,0.9567,,1.094,,8.205,,0.008968,,0.01646,,0.01588,,0.005917
3,13.17,,18.66,,85.98,,534.6,,0.1158,,0.1231,,0.1226,,0.0734,,0.2128,,0.06777,,0.2871,,0.8937,,1.897,,24.25,,0.006532,,0.02336,,0.02905,,0.01215
3,12.05,,14.63,,78.04,,449.3,,0.1031,,0.09092,,0.06592,,0.02749,,0.1675,,0.06043,,0.2636,,0.7294,,1.848,,19.87,,0.005488,,0.01427,,0.02322,,0.00566
3,13.49,,22.3,,86.91,,561,,0.08752,,0.07698,,0.04751,,0.03384,,0.1809,,0.05718,,0.2338,,1.353,,1.735,,20.2,,0.004455,,0.01382,,0.02095,,0.01184
3,11.76,,21.6,,74.72,,427.9,,0.08637,,0.04966,,0.01657,,0.01115,,0.1495,,0.05888,,0.4062,,1.21,,2.635,,28.47,,0.005857,,0.009758,,0.01168,,0.007445
3,13.64,,16.34,,87.21,,571.8,,0.07685,,0.06059,,0.01857,,0.01723,,0.1353,,0.05953,,0.1872,,0.9234,,1.449,,14.55,,0.004477,,0.01177,,0.01079,,0.007956
3,11.94,,18.24,,75.71,,437.6,,0.08261,,0.04751,,0.01972,,0.01349,,0.1868,,0.0611,,0.2273,,0.6329,,1.52,,17.47,,0.00721,,0.00838,,0.01311,,0.008
3,18.22,,18.7,,120.3,,1033,,0.1148,,0.1485,,0.1772,,0.106,,0.2092,,0.0631,,0.8337,,1.593,,4.877,,98.81,,0.003899,,0.02961,,0.02817,,0.009222
3,15.1,,22.02,,97.26,,712.8,,0.09056,,0.07081,,0.05253,,0.03334,,0.1616,,0.05684,,0.3105,,0.8339,,2.097,,29.91,,0.004675,,0.0103,,0.01603,,0.009222
3,11.52,,18.75,,73.34,,409,,0.09524,,0.05473,,0.03036,,0.02278,,0.192,,0.05907,,0.3249,,0.9591,,2.183,,23.47,,0.008328,,0.008722,,0.01349,,0.00867
3,19.21,,18.57,,125.5,,1152,,0.1053,,0.1267,,0.1323,,0.08994,,0.1917,,0.05961,,0.7275,,1.193,,4.837,,102.5,,0.006458,,0.02306,,0.02945,,0.01538
3,14.71,,21.59,,95.55,,656.9,,0.1137,,0.1365,,0.1293,,0.08123,,0.2027,,0.06758,,0.4226,,1.15,,2.735,,40.09,,0.003659,,0.02855,,0.02572,,0.01272
3,13.05,,19.31,,82.61,,527.2,,0.0806,,0.03789,,0.000692,,0.004167,,0.1819,,0.05501,,0.404,,1.214,,2.595,,32.96,,0.007491,,0.008593,,0.000692,,0.004167
4,8.618,,11.79,,54.34,,224.5,,0.09752,,0.05272,,0.02061,,0.007799,,0.1683,,0.07187,,0.1559,,0.5796,,1.046,,8.322,,0.01011,,0.01055,,0.01981,,0.005742
4,10.17,,14.88,,64.55,,311.9,,0.1134,,0.08061,,0.01084,,0.0129,,0.2743,,0.0696,,0.5158,,1.441,,3.312,,34.62,,0.007514,,0.01099,,0.007665,,0.008193
4,8.598,,20.98,,54.66,,221.8,,0.1243,,0.08963,,0.03,,0.009259,,0.1828,,0.06757,,0.3582,,2.067,,2.493,,18.39,,0.01193,,0.03162,,0.03,,0.009259
4,14.25,,22.15,,96.42,,645.7,,0.1049,,0.2008,,0.2135,,0.08653,,0.1949,,0.07292,,0.7036,,1.268,,5.373,,60.78,,0.009407,,0.07056,,0.06899,,0.01848
4,9.173,,13.86,,59.2,,260.9,,0.07721,,0.08751,,0.05988,,0.0218,,0.2341,,0.06963,,0.4098,,2.265,,2.608,,23.52,,0.008738,,0.03938,,0.04312,,0.0156
4,12.68,,23.84,,82.69,,499,,0.1122,,0.1262,,0.1128,,0.06873,,0.1905,,0.0659,,0.4255,,1.178,,2.927,,36.46,,0.007781,,0.02648,,0.02973,,0.0129
4,14.78,,23.94,,97.4,,668.3,,0.1172,,0.1479,,0.1267,,0.09029,,0.1953,,0.06654,,0.3577,,1.281,,2.45,,35.24,,0.006703,,0.0231,,0.02315,,0.01184
4,9.465,,21.01,,60.11,,269.4,,0.1044,,0.07773,,0.02172,,0.01504,,0.1717,,0.06899,,0.2351,,2.011,,1.66,,14.2,,0.01052,,0.01755,,0.01714,,0.009333
4,11.31,,19.04,,71.8,,394.1,,0.08139,,0.04701,,0.03709,,0.0223,,0.1516,,0.05667,,0.2727,,0.9429,,1.831,,18.15,,0.009282,,0.009216,,0.02063,,0.008965
4,9.029,,17.33,,58.79,,250.5,,0.1066,,0.1413,,0.313,,0.04375,,0.2111,,0.08046,,0.3274,,1.194,,1.885,,17.67,,0.009549,,0.08606,,0.3038,,0.03322
4,12.78,,16.49,,81.37,,502.5,,0.09831,,0.05234,,0.03653,,0.02864,,0.159,,0.05653,,0.2368,,0.8732,,1.471,,18.33,,0.007962,,0.005612,,0.01585,,0.008662
4,18.94,,21.31,,123.6,,1130,,0.09009,,0.1029,,0.108,,0.07951,,0.1582,,0.05461,,0.7888,,0.7975,,5.486,,96.05,,0.004444,,0.01652,,0.02269,,0.0137
4,8.888,,14.64,,58.79,,244,,0.09783,,0.1531,,0.08606,,0.02872,,0.1902,,0.0898,,0.5262,,0.8522,,3.168,,25.44,,0.01721,,0.09368,,0.05671,,0.01766
4,17.2,,24.52,,114.2,,929.4,,0.1071,,0.183,,0.1692,,0.07944,,0.1927,,0.06487,,0.5907,,1.041,,3.705,,69.47,,0.00582,,0.05616,,0.04252,,0.01127
4,13.8,,15.79,,90.43,,584.1,,0.1007,,0.128,,0.07789,,0.05069,,0.1662,,0.06566,,0.2787,,0.6205,,1.957,,23.35,,0.004717,,0.02065,,0.01759,,0.009206
4,12.31,,16.52,,79.19,,470.9,,0.09172,,0.06829,,0.03372,,0.02272,,0.172,,0.05914,,0.2505,,1.025,,1.74,,19.68,,0.004854,,0.01819,,0.01826,,0.007965
4,16.07,,19.65,,104.1,,817.7,,0.09168,,0.08424,,0.09769,,0.06638,,0.1798,,0.05391,,0.7474,,1.016,,5.029,,79.25,,0.01082,,0.02203,,0.035,,0.01809
4,13.53,,10.94,,87.91,,559.2,,0.1291,,0.1047,,0.06877,,0.06556,,0.2403,,0.06641,,0.4101,,1.014,,2.652,,32.65,,0.0134,,0.02839,,0.01162,,0.008239
4,18.05,,16.15,,120.2,,1006,,0.1065,,0.2146,,0.1684,,0.108,,0.2152,,0.06673,,0.9806,,0.5505,,6.311,,134.8,,0.00794,,0.05839,,0.04658,,0.0207
4,20.18,,23.97,,143.7,,1245,,0.1286,,0.3454,,0.3754,,0.1604,,0.2906,,0.08142,,0.9317,,1.885,,8.649,,116.4,,0.01038,,0.06835,,0.1091,,0.02593
4,12.86,,18,,83.19,,506.3,,0.09934,,0.09546,,0.03889,,0.02315,,0.1718,,0.05997,,0.2655,,1.095,,1.778,,20.35,,0.005293,,0.01661,,0.02071,,0.008179
4,11.45,,20.97,,73.81,,401.5,,0.1102,,0.09362,,0.04591,,0.02233,,0.1842,,0.07005,,0.3251,,2.174,,2.077,,24.62,,0.01037,,0.01706,,0.02586,,0.007506
4,13.34,,15.86,,86.49,,520,,0.1078,,0.1535,,0.1169,,0.06987,,0.1942,,0.06902,,0.286,,1.016,,1.535,,12.96,,0.006794,,0.03575,,0.0398,,0.01383
4,25.22,,24.91,,171.5,,1878,,0.1063,,0.2665,,0.3339,,0.1845,,0.1829,,0.06782,,0.8973,,1.474,,7.382,,120,,0.008166,,0.05693,,0.0573,,0.0203
4,19.1,,26.29,,129.1,,1132,,0.1215,,0.1791,,0.1937,,0.1469,,0.1634,,0.07224,,0.519,,2.91,,5.801,,67.1,,0.007545,,0.0605,,0.02134,,0.01843
4,12,,15.65,,76.95,,443.3,,0.09723,,0.07165,,0.04151,,0.01863,,0.2079,,0.05968,,0.2271,,1.255,,1.441,,16.16,,0.005969,,0.01812,,0.02007,,0.007027
4,18.46,,18.52,,121.1,,1075,,0.09874,,0.1053,,0.1335,,0.08795,,0.2132,,0.06022,,0.6997,,1.475,,4.782,,80.6,,0.006471,,0.01649,,0.02806,,0.0142
4,14.48,,21.46,,94.25,,648.2,,0.09444,,0.09947,,0.1204,,0.04938,,0.2075,,0.05636,,0.4204,,2.22,,3.301,,38.87,,0.009369,,0.02983,,0.05371,,0.01761
4,19.02,,24.59,,122,,1076,,0.09029,,0.1206,,0.1468,,0.08271,,0.1953,,0.05629,,0.5495,,0.6636,,3.055,,57.65,,0.003872,,0.01842,,0.0371,,0.012
4,12.36,,21.8,,79.78,,466.1,,0.08772,,0.09445,,0.06015,,0.03745,,0.193,,0.06404,,0.2978,,1.502,,2.203,,20.95,,0.007112,,0.02493,,0.02703,,0.01293
4,14.64,,15.24,,95.77,,651.9,,0.1132,,0.1339,,0.09966,,0.07064,,0.2116,,0.06346,,0.5115,,0.7372,,3.814,,42.76,,0.005508,,0.04412,,0.04436,,0.01623
4,14.62,,24.02,,94.57,,662.7,,0.08974,,0.08606,,0.03102,,0.02957,,0.1685,,0.05866,,0.3721,,1.111,,2.279,,33.76,,0.004868,,0.01818,,0.01121,,0.008606
4,15.37,,22.76,,100.2,,728.2,,0.092,,0.1036,,0.1122,,0.07483,,0.1717,,0.06097,,0.3129,,0.8413,,2.075,,29.44,,0.009882,,0.02444,,0.04531,,0.01763
4,13.27,,14.76,,84.74,,551.7,,0.07355,,0.05055,,0.03261,,0.02648,,0.1386,,0.05318,,0.4057,,1.153,,2.701,,36.35,,0.004481,,0.01038,,0.01358,,0.01082
4,13.45,,18.3,,86.6,,555.1,,0.1022,,0.08165,,0.03974,,0.0278,,0.1638,,0.0571,,0.295,,1.373,,2.099,,25.22,,0.005884,,0.01491,,0.01872,,0.009366
4,15.06,,19.83,,100.3,,705.6,,0.1039,,0.1553,,0.17,,0.08815,,0.1855,,0.06284,,0.4768,,0.9644,,3.706,,47.14,,0.00925,,0.03715,,0.04867,,0.01851
5,20.26,,23.03,,132.4,,1264,,0.09078,,0.1313,,0.1465,,0.08683,,0.2095,,0.05649,,0.7576,,1.509,,4.554,,87.87,,0.006016,,0.03482,,0.04232,,0.01269
5,12.18,,17.84,,77.79,,451.1,,0.1045,,0.07057,,0.0249,,0.02941,,0.19,,0.06635,,0.3661,,1.511,,2.41,,24.44,,0.005433,,0.01179,,0.01131,,0.01519
